Reason for Exclusion (PICOQ),Explanation,Reference Type,Year,Author,Title,Publication Title,ISBN/ISSN,DOI,URL,Abstract,Volume,Issue,Pages,Keywords,
I,Not a Program; No Primary Data,Book Section,2011,"Beecy, D. J.; Simbeck, D.",Assessing Innovative National Policy Options and Roles for CCS in a Post-Kyoto,10th International Conference on Greenhouse Gas Control Technologies,1876-6102,,,"The highly contentious, complex negotiations over the past several years to establish a globally more-inclusive, post-Kyoto Framework illustrate the daunting complexity and diversity of interests, which had to be accommodated. Notwithstanding the many challenges, a ""Copenhagen Accord"" was reached at the December 2009 15th Conference of Parties (COP 15) of the United Nations Framework Convention on Climate Change (UNFCCC) held in Copenhagen, Denmark. That Accord provided the basis for subsequent delineation of the post-Kyoto Framework in 2010 at the meetings in Mexico City, Mexico. Adoption of more flexibility in the approaches nations can employ to achieve significant, verifiable emissions reductions is among the many critical and necessary accommodations made to achieve more inclusive participation from developing economies and other large economies that did not adhere to the Kyoto Protocol. Negotiations also had to address trade and national sovereignty issues as well. This flexibility is an essential recognition of national and cultural differences including differences in levels of national and sub-national economic wealth and growth, status of energy infrastructure development, and national energy resource endowments. This paper presents research findings from a project using a step-by-step methodology. The first step was defining a set of generic, guiding principles for economically efficient and effective national emissions reduction programs. These were employed to design a comprehensive portfolio of innovative national policy and technology strategies that could be adopted by large, developed economies as well as some large developing economies. A specific example is presented using the United States as the test case. The cost-effectiveness of the innovative policy and technology portfolio is assessed for the test case based on a number of effectiveness measures, including: projected economic impacts and emissions reductions, national security impacts, energy-related impacts on water use and other environmental aspects, and regional economic equity. The assessment methodology employs a Reference Case Scenario (RCS), based on the Annual Energy Outlook 2010 energy projections (AEO 2010) of the U.S. Energy Information Agency (EIA), extended through 2050. The EIA energy projections are a widely used basis for projecting future energy demand, supply, and prices in the United States. They provide a comprehensive economy-wide reference data set. Particular attention is given to the electric generation, transportation, and industrial sectors, which account for the majority of energy production, demand, and emissions. A Policy and Technology Innovations Scenario (PTIS) is constructed covering all sectors of the energy economy with special attention as described above. The case specifications include new Federal and State legislative innovations and modifications to existing laws, regulatory reforms and innovations, and enhanced low-carbon technology innovation programs. Based on the PTIS case specifications, the incremental energy, economic, emissions, and other impacts from successful adoption and implementation of the PTIS case are projected as changes to the Reference Case Scenario using transparent techno-economic modeling approaches. The enhanced, low-carbon energy technology innovations programs included in the PTIS case cover a broad spectrum of energy supply and demand innovations. Particular attention is given to innovations that increase energy efficiency in both production and uses of energy in all economic sectors. Recognizing the extremely large energy infrastructure and imbedded capital investments already existing in the United States, special attention is given to innovations to transform and expand that infrastructure to meet future clean energy needs. The latter is a key strategy for making the transition affordable. One focus of attention is innovative opportunities for Carbon Capture and Sequestration (CCS). These are described along with the policy, regulatory, and technology improvements necessary to enable those contributions. The quantitative and qualitative differences between the two Scenarios are compared using the effectiveness measures adopted. These comparisons confirm that a portfolio such as that modeled in this project can lead to significant, affordable emissions reductions in the near term, and establish a pathway to a future energy economy with much larger reductions in energy use and emissions than the Reference Case in the longer term. Other key insights and conclusions from the assessment are described. The national and sub-national political, economic, and regulatory barrier and constraint challenges to successful implementation of a PTIS case are presented along with options for overcoming those challenges. (C) 2011 Published by Elsevier Ltd.",4,5861-5868,Elsevier Science Bv,Assessment; Policy Options; CCS,
I,Not a Program,Book Section,2009,"Burhanuddin, M. A.; Arif, F.; Azizah, V.; Prabuwono, A. S.",Barriers and Challenges for Technology Transfer in Malaysian Small and Medium Industries,"2009 International Conference on Information Management and Engineering, Proceedings",978-0-7695-3595-1,,,"Small and medium-scale industries (SMI) have played a very important role in Malaysian economy. Particularly in terms of employment generation, better income distribution and as a training ground for entrepreneurs before investing in a larger scale businesses. However, there are many factors inhibiting the adoption of new technologies especially related to Information and Communication Technology (ICT) in the challenging world today. It is important to identify the primary obstacles they face with regard in adopting new technology. In order for them to survive in a long run, this study identifies problems and constraints faced by SMI in Malaysia. Then, focus on the challenges and barriers for them in adopting new technology. The researchers visited few food-processing SMI in the Southern Region of Malaysia and make comparison with few important publications on SMI development.",,258-+,Ieee Computer Soc,ICT adoption; small and medium industries; barriers and challenges,
I,Not a Program,Conference Proceedings,2010,"Li, Z. Qi; G.",Contributions and Constraints of Rural Household Biogas Construction Project in Northeast China: A Case Study of Gongzhuling County,2010 International Conference on Management and Service Science,null,10.1109/ICMSS.2010.5576785,,"Household biogas is not only an important part of the development of rural new energy, but also an important aspect of sustainable development in China. This paper analyses the contributions and constraints of rural household biogas based on the sampling data in Gongzhuling County. The result shows that biogas construction can protect environment, improve the quality of farmers' lives. However, the cold fermentation temperature and incomplete technological service mainly restrict the implement of biogas project. Basing on the analysis above, the paper brings forward the relevant countermeasures and policy suggestions.",,43525,,biofuel; fermentation; sustainable development; rural household biogas construction project; Northeast China; Gongzhuling County; rural new energy; sampling data; environment protection; cold fermentation temperature; incomplete technological service; Energy consumption; Construction industry; Agriculture; Production; Space heating; Fires; Economics,
I,Not a Program,Book Section,2015,"Chatterjee, S.; Kar, A. K.",Smart Cities in Developing Economies: A Literature Review and Policy Insights,"2015 International Conference on Advances in Computing, Communications and Informatics",978-1-4799-8792-4,,,"Now-a-days all the cities of developed and developing countries feel the need to provide public services in a most effective and efficient way. It is also noted that a considerable number of rural population is converging to the cities to relish the fruits of development and this pace of migration is increasing rapidly. From global experience it is seen that pace of growth of urbanization up to 30% is not very fast but thereafter at least up to 60-65% this pace of growth increases rapidly. Statistics highlights that now the urban population in India is 31%. As a result, pace of urbanization would speed-up to combat the need of inhabitants of those cities. In this context the Government of India has decided to set up 100 ""Smart Cities"" in India (as observed from the budget speech of Finance Minister of India in 2014) to face the situation since if this is right now not achieved, the existing cities would very soon become unlivable. However to achieve this, ""Smart Technology"" is essential which in particular, means improvement of Information and Communication Technology (ICT) along with other essential services. Now some basic principles are required to be adopted by the cities marked for converting them as ""Smart Cities"". These are Coalescence, Practicality and Involvement. In this paper a sincere attempt has been taken to characterize the essentials of ""Smart Cities"" in the context of developing countries and to find out the main constraints apprehended to stand on the way to convert cities to ""Smart Cities"" or to denevo create ""Smart Cities"". Criteria have been proposed to identify as to which cities would be construed to be fit for conversion to ""Smart Cities"". In the conclusion part it has been inferred that out of other barriers literacy and fund constraint are the principal barriers and it has been suggested that Government should sincerely pique the people to come out from the veil of illiteracy and Government should essay to explore wealth resources needed for establishing ""Smart Cities"".",,2335-2340,Ieee,Smart City; Smart Technology; Sustainable Development; Developing; Economy; Cyber Security; DIVERSITY; ENERGY,
I,Not a Program,Journal Article,2017,"Hafeez, A. S. M. G.; Roy, D. R.; Majumder, S.; Mitra, S.",Adoption of biogas for household energy and factors affecting livelihood of the users in rural Bangladesh,"9th ASAE International Conference: Transformation in agricultural and food economy in Asia, 11-13 January 2017, Bangkok, Thailand. Proceedings",,,,"Domestic energy insecurity is a major threat to sustainable development in a developing country like Bangladesh. The present study aimed at estimating the factors that affect adoption of biogas plant and analysing the factors responsible for the improvement of livelihoods of the biogas users. The study was based on primary data collected from randomly chosen 50 biogas user households and 30 non users in Ghatail and Fulbaria upazilas (sub district) of Tangail and Mymensingh district respectively. Required data were collected adopting direct farm survey method during January to February, 2015. Binary logistic regression model was used to analyse the data. The findings of the study reveal that education, income, farm size, number of cattle and cost of fuel were positively associated with the adoption of biogas technology. The major findings of the logistic regression showed that respondents having education over 8 years had 20.78 times more possibility of adopting biogas technology than tthose who had education less than 8 years of schooling. The probability of adopting biogas plant by a household owning land above 0.60 hactare was 7.31 times higher than those households owning land less than 0.60 hactare. The results of the logistic regression model fitted for livelihood improvement revealed that a biogas user who supplied gas to other consumer is 11.66 times more likely to achieve moderate improvement in livelihood than the user who could not supply gas to other consumer. The findings also showed that environmental and econmic factors were the two vital factors influencing the adoption of biogas. This study highlighted on the strategies such as organizing training, publicity program, motivational activities on biogas technology; encourage more educated people to adopt biogas technology and expanding subsidy and loan provision, extending period of loan repayment to increase the likelihood of adopting biogas plants.",,,1642-1661,agricultural households; biogas; energy; environmental factors; livelihoods; rural areas; socioeconomics; technology transfer,
I,Not a Program,Journal Article,2019,"Boyer, T. H.; Saetta, D.",Opportunities for Building-Scale Urine Diversion and Challenges for Implementation,Accounts of Chemical Research,00014842 (ISSN),10.1021/acs.accounts.8b00614,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064475170&doi=10.1021%2facs.accounts.8b00614&partnerID=40&md5=481e7df4635567472b3803fd34cb5c39; https://pubs.acs.org/doi/10.1021/acs.accounts.8b00614,"ConspectusUrine diversion (i.e., urine source separation) has been proposed as a more sustainable solution for water conversation, nutrient removal and recovery, and pharmaceutical sequestration. As wastewater regulations become more stringent, wastewater treatment plants reach capacity, and water resources become more strained, the benefits of urine diversion become more appealing. By using nonwater urinals and urine-diverting toilets, urine diversion systems seek to collect undiluted human urine for nutrient recovery and pharmaceutical sequestration. Urine is a unique, nutrient-rich waste stream that constitutes an overall low volume of waste entering a wastewater treatment plant. If urine is separated at the building-scale, various technologies can be used to recover nutrients and sequester pharmaceuticals at their most concentrated location. However, the implementation of urine diversion requires a paradigm shift from conventional comingling of wastewater and centralized treatment to source separation and decentralized treatment.This Account proposes a vision for building-scale implementation of urine diversion with the goal of clarifying the opportunities and challenges in this context. The main components of urine, i.e., nitrogen, phosphorus, potassium, and pharmaceuticals, are major drivers for technology development and system implementation. Stepping back, the benefits from water conservation and effects on wastewater treatment are an extension of the system boundary that can impact the sustainability of adjacent systems. However, major challenges have been identified in the literature as hurdles for widespread implementation of urine diversion. Challenges include the comparison of recovering nutrients at the wastewater plant versus at the source, the collection and storage of urine, the ability to recover nutrients and sequester pharmaceuticals, and the overall environmental and economic impacts of urine diversion systems. While these challenges exist, studies have been conducted to address some of the underlying research questions. As more research is conducted, the vision of a seamless urine diversion system with building-wide plumbing and storage comes closer to reality. As such, the application of urine diversion systems will benefit from technology development and research to fill gaps that have been identified.It is important to classify urine diversion systems as a process and not a product. This has implications for the way these systems are evaluated, as their impact on peripheral systems can be of benefit to different stakeholders. In the same light, new research areas, such as cyber-physical systems, reverse logistics, and sustainability transitions, can be applied to urine diversion as approaches for ensuring a robust process for widespread implementation. However, established technologies should be constantly reassessed and enhanced by newer techniques. For example, membrane distillation, eutectic freeze concentration, and solar evaporation should be considered for nutrient recovery and volume reduction because they offer benefits over conventional technologies. Finally, the human behavior component of urine diversion cannot be ignored, as negative user acceptance and improper maintenance of these systems can have a detrimental impact on their future implementation. Copyright © 2019 American Chemical Society.",52,4,886-895,,
P,Wrong Sector,Serial,2016,"Jewell, L. P.",Increasing adoption of on-farm water recycling technology in culturally and linguistically diverse communities in a peri-urban context - key challenges and lessons,Acta Horticulturae,05677572 (ISSN); 9789462611061 (ISBN),10.17660/ActaHortic.2016.1112.5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964497616&doi=10.17660%2fActaHortic.2016.1112.5&partnerID=40&md5=700a6f52b5da4dcb06861aa6ef79146e,"The NSW Department of Primary Industries delivered the WaterSmart Farms project through the Australian Government's Water for the Future initiative. The project provided irrigation management training and infrastructure upgrade grants for licensed river, and potable water irrigators in peri-urban areas of the Sydney Basin, securing 5,900 megalitres of water savings and preventing export of 19 t of nitrogen and 7 t of phosphorus annually. Greenhouse vegetable producers in the region are mostly from culturally and linguistically diverse communities. Enterprises are small with tight cash flows with uncertain land tenure due to potential rezoning. Investing in expensive water efficient infrastructure (e.g., disinfection and filtration systems) presented a major barrier to technology uptake. To address these barriers the extension team decided on a 'two-pronged' approach which utilised demonstration farms showcasing basic low-cost technology (rainwater harvesting tanks) and high-tech, high-cost recycling systems (UV, ozone, copper ionisation and ultra-filtration systems). Concurrently, the services of independent auditors were engaged to assess the water savings potential options for growers. The demonstration sites have assisted in increasing uptake of recycling projects with potable water savings of up to 23 ML per annum per site being realised along with significant reductions in nitrogen and phosphorus export into the catchment area. Financial analysis of hydroponic greenhouse vegetable recycling project sites has shown a payback period of two years. Overall, the project has provided some valuable data and lessons that will help in developing water management strategies or long-term water security and river health in peri-urban landscapes.",1112,,31-37,International Society for Horticultural Science,
P,Wrong Sector,Serial,2012,"Serra-Sastre, V.; McGuire, A.",Technology diffusion and substitution of medical innovations,Advances in Health Economics and Health Services Research,07312199 (ISSN); 9781781901281 (ISBN),10.1108/S0731-2199(2012)0000023009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872099702&doi=10.1108%2fS0731-2199%282012%290000023009&partnerID=40&md5=350f028fc1247f9cc11ae376ef3ef568,"Purpose - The aim of this paper is to examine the diffusion of a new surgical procedure with lower per-case cost and how its diffusion path is affected by the simultaneous introduction of a new drug class that may be an effective treatment to prevent surgery. In particular, we examine whether a process of technology substitution exists that influences the diffusion process of the surgical technology. Given their different cost implications, the interaction of these two different technologies, surgery and drug intervention, is relevant from the perspective of health expenditure. This is of particular interest in health care as technology adoption and diffusion has been cited as a major driver of expenditure growth. Such expenditure growth has been increasingly targeted through the use of market-orientated policy tools aimed at increasing efficiency. Our research is thus addressing the question of how economic incentives influence the diffusion process and we discuss the impact of a set of incentives on hospital behavior. Design/methodology - Hospital admission data for the financial years 1998/1999 to 2007/2008 in England are used to empirically test the contribution of prescription uptake and market-oriented reforms. Dynamic panel data models are used to capture any changes in technology preference during the period of study. Findings - Our results suggest that the hospital sector exhibits a strong new technology preference, tempered by the interaction of competition for patients and the ability of the primary care sector to substitute treatments. Value/originality - Given the current fast technological change, we examine the technological race occurring in the health care sector. We account simultaneously for the diffusion of different technologies not only within the same typology but also with technologies of a different class. Copyright &copy; 2012 by Emerald Group Publishing Limited.",23,,149-175,,
I,Not a Program,Book Section,2016,"Steurer, E.; Manatsgruber, D.; Jouego, E. P.",Risk Clustering as a finance concept for rural electrification in Sub-Saharan Africa to attract international private investors,Africa-Eu Symposium on Renewable Energy Research and Innovation,1876-6102,,,"Projects in the energy sector in Africa suffer from a number of barriers. Especially the combination of political instability and an unclear regulatory framework hampers the private sector to realize the investment possibilities in the field of decentralized rural electrification. For debt based projects these barriers result in prohibitively high interest rates - roughly 15 % while the return on investment does not exceed the low 10% area. This situation leads to strong reluctance from private investors to provide equity. A possibility to encourage private investors to step in could be a separation of the different risks, especially separating the typical high sovereign risk of a country from the commercial risk of the energy project. As a result, the separated risks can be clearly allocated to different investor groups looking for investment opportunities going along with distinct risks. A structured approach is proposed through which private international investors are exposed only to the general political risk while international development banks cover mainly the regulatory risk. Finally, the newly invented financial instrument convertible grant by the electriFI initiative of the EU provides an equity substitute to take over the commercial risk. With this additional financial support, decentralized electrification projects in Africa have the possibility to be implemented and the potential to be scaled up. (C) 2016 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license.",93,183-190,Elsevier Science Bv,Renewable energy projects; investment; risk clustering; senior debt; mezzanine debt; equity substitution,
I,Not a Program,Journal Article,2018,"Ajayi, P.I.",Urban Household Energy Demand in Southwest Nigeria.,African Development Review,,10.1111/1467-8268.12348,https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-8268.12348,"In response to changing prices, incomes and demographics, household use of various fuels such as electricity, gas, kerosene and fuel wood have changed over the years. In this paper we estimate income and price elasticities of household demand for various types of energy in urban southwest Nigeria. Household micro?data was collected via the administration of a questionnaire. Empirical analysis showed that all energy goods are inelastic for own price elasticities and cross price elasticities. Most of the cross price effects are negative values indicating complementarity between energy goods. This suggests that substitution possibilities between energy goods are quite limited. However, kerosene is shown to be the main fuel used for cooking by about 90 per cent of households; the use of LPG and electricity is minimal. The income group analysis further shows that kerosene is preferred across all income groups. Budget share allocations reveal that households allocate a greater share of their income (40 per cent) to kerosene consumption while LPG gets the lowest share allocation of (3 per cent).",30,4,410-422,,
