Code status (F=full;S=semi),Year,Author,Title,Journal Title,ISBN/ISSN,DOI.URL,Abstract,Volume,Issue,Pages
F,2019,"Yasmin, N.; Grundmann, P.",Adoption and diffusion of renewable energy - The case of biogas as alternative fuel for cooking in Pakistan,Renewable & Sustainable Energy Reviews,1364-0321,10.1016/j.rser.2018.10.011,"Alternative energy technologies such as biogas are being promoted, but despite the significant potential and efforts to implement these technologies, only small numbers of households have succeeded in the transition towards these alternative energy sources. Moreover, sustainability and the functionality of alternative energy technologies remain unknown. The study aims to explore the socioeconomic constraints in the adoption and diffusion of biogas as alternative fuel for cooking in households in rural Pakistan and access the impact of biogas technology adoption on income, crop productivity and fuel consumption and drudgery. The study has also scrutinized the factors affecting the continuity of the biogas plants. Our analysis adds to the limited literature of adoption of biogas and the transition towards alternative fuel sources in the Global South. A multistage sampling procedure was used to collect data from 630 biogas adopters and non-adopters from three districts of Punjab. The empirical results from logit model and propensity score matching approach indicate that the older, wealthy farmers are more likely to adopt biogas technology. Cook's education, structure of house, location of kitchen and access to credit institutions also play positive role in this process. Poor operational methods, lack of maintenance and training facilities were the main reasons for the functional failure of existing plants and reason for the discontinuation. Moreover, biogas adoption has positive and significant impact on income and crop revenues and has negative impact on fuelwood expenditures and collection time. Due to the multidimensional nature of the problem, a comprehensive remedial approach addressing the socio-technical factors identified in the study and considering all stakeholders' cooperation could solve the existing lock-in situation in the ongoing implementation of biogas production and the transition towards alternative fuel sources.",101,,255-264
F,2012,"Yadoo, A.; Cruickshank, H.","The role for low carbon electrification technologies in poverty reduction and climate change strategies: a focus on renewable energy mini-grids with case studies in Nepal, Peru and Kenya",Energy Policy,0301-4215,http://dx.doi.org/10.1016/j.enpol.2011.12.029,while it decreases with share of income stemming from remittances,42,,591-602
F,2017,"Urpelainen, J.; Yoon, SeMee",Can product demonstrations create markets for sustainable energy technology? A randomized controlled trial in rural India,Energy Policy,0301-4215,http://dx.doi.org/10.1016/j.enpol.2017.07.036,"The literature on sustainable energy technology sees informational barriers as a major obstacle to technology adoption. In the case of solar home systems, recent studies report positive socio-economic effects on households, but technology adoption remains underwhelming. In collaboration with a local solar technology provider, we conduct a randomized controlled trial in 75 large villages in the state of Uttar Pradesh, India to examine the ability of village solar demonstrations to create markets for solar home systems. We find no effect of such demonstrations on technology sales, awareness, or perceptions of solar technology. Technology adopters report high levels of satisfaction with product quality and service, suggesting that the null finding cannot be attributed to poor technology. These findings suggest that lack of awareness is not a binding constraint on the growth of solar technology markets in the study area. Based on additional surveys, we find evidence suggesting that access to credit from rural banks is an important explanation for variation in sales across villages. These results do not prove that information and awareness are irrelevant in general, but they show that even carefully designed marketing campaigns cannot increase demand for new products in the presence of a binding credit constraint.",109,,666-675
F,2018,"Thompson, L. M.; Hengstermann, M.; Weingstein, J. R.; Diaz-Artiga, A.",Adoption of liquefied petroleum gas stoves in Guatemala: A mixed-methods study,EcoHealth,,doi:10.1007/s10393-018-1368-8.,"Household air pollution (HAP) is the sixth leading risk factor for premature mortality in Guatemala. Households in Guatemala are gradually adopting liquefied petroleum gas (LPG) stoves, but a strong tradition of woodstove use persists. We conducted a mixed-methods study of LPG stove use in peri-urban Guatemala. We used Knowledge, Attitudes and Practices surveys with 187 LPG stove owners who also used woodstoves to identify perceptions of stove and cooking practices. Barriers to sustained use of LPG stoves were evaluated through focus groups, participant observations with stove users, and key informant interviews with community leaders. Seven themes emerged that explain household decisions to use LPG stoves: (1) the “new technology” should be framed in terms of what the “old technology” lacks, (2) income is not a predictor of gas stove acquisition but may predict sustained use, (3) men are key decision-makers but messages about LPG do not target them, (4) when stoves are viewed as “prize possessions” they may not be used, (5) collective fear about gas stoves is not based on personal experience, but on “stories we hear”, (6) sustained LPG use is hampered by two major factors, seasonally available wood and LPG retailers who are perceived as dishonest, and (7) wood fuel collection is a time to enjoy the company of friends and family and is not “drudgery”. National policies should promote the use of clean cookstove technologies in peri-urban and rapidly urbanizing areas in Guatemala where LPG stoves are in use, but used intermittently, instead of the current plan to install 100,000 “improved” woodstoves by 2032. This could be done by improving dependable cylinder distribution services, targeting gas safety and promoting positive health messages that appeal to men, as well as women.",15,4,745-756
F,2012,"Sesan, T.",Navigating the limitations of energy poverty: Lessons from the promotion of improved cooking technologies in Kenya,Energy Policy,0301-4215,https://doi.org/10.1016/j.enpol.2012.04.058,"Energy poverty has been defined as the lack of access of households in developing countries to modern energy sources, and their consequent reliance on solid biomass fuels for cooking. Improved stoves have been promoted by development actors since the 1970s to alleviate various environmental and health problems associated with biomass use, with largely disappointing outcomes. Against this background, this paper examines the intervention of an international development organisation – Practical Action – in West Kochieng, Kenya, where the organisation's energy poverty alleviation efforts are aimed at addressing the health hazards of biomass smoke with six ‘low-cost' improved cooking technologies. The study reveals that the cooking technology most valued by poor West Kochieng households is the one which most reflects their priorities, rather than those expressed by Practical Action. The findings point to three aspects of appropriateness of energy poverty alleviation interventions – technological, economic and cultural – which combine to influence acceptance and uptake of such interventions. The evidence highlights some of the limitations inherent in the generic policy recommendation to ‘leapfrog' towards the resolution of energy poverty-related problems, and suggests that more measured steps which respond to the socio-economic realities of poor households are likely to engender more appropriate solutions.",47,,202-210
F,2016,"Sager-Klauss, C. V.",Energetic communities: Planning support for sustainable energy transition in small- and medium-sized communities,A+BE Architecture and the Built Environment,22123202 (ISSN); 9789461866363 (ISBN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988976412&partnerID=40&md5=f87f1884265ba492721e7f525d844a92,"The necessity for transition in the energy sector is beyond dispute and high on the political agendas. Climate change, the depletion of fossil fuels and the vulnerability of economies to resource speculation and unreliable political systems in the producing countries lay path for a broad implementation of smart alternative solutions. This means the integration of more sustainable renewable energy sources in the existing supply structures or the displacement of existing systems by new ones. Cities and communities are central players in the energy transition process. Energy demand is determined by the built environment. Renewable energy production needs space. The conflicts between different interest groups often break out in the context of local implementation measures that affect urban planning and the appearance of landscapes. Small- and medium-sized communities might prove to be game-changers in the overall energy transition because many problems have to be solved within their ambit. Urban planning is dealing with the numerous processes of urban change. Energy is a fairly new task to be addressed and many stakeholders lack experience and criteria for strategic decision making. After a period of fierce determination to turn the wheel against climate change, it seems that there is a growing resignation among politicians, planners and the public because some things have not turned out the way we'd expected and the hope for quick solutions fades. Rebound-effects seem to eat up the savings to a good extent, and alternative ideas of how sustainable energy systems may be put into place have not yet been persuasive in many cases. Energy systems have proved to be complex. They are still perceived to be important but in practice there is a growing uneasiness about the right steps to take. The overarching research question of this thesis is: What do decision makers in smalland medium-sized communities need to become more successful in implementing energy transition processes? For the research project this general question was broken down into four primary research questions: - How can communities anchor and monitor long-term energy transition visions in their communal development plans? - What tools and models are available for urban energy system analysis? - How can tools and models be adapted to the specific demands and boundary conditions in the case study communities to ensure long-term implementation of appropriate technologies and measures? - How does the practical implementation of the adapted tools work in the case study and what barriers must be overcome for long-term success? To answer these questions a combination of review of the current state of scientific literature of the thematic field with a practical application and evaluation of 'real' implementation projects was chosen. This appears to be a beneficial approach to scientific research in planning disciplines. The first research question is closely connected to urban planning and strategy. To anchor energy transition goals in these disciplines the potentials and consequences of political energy visions were studied. To monitor developments and progress existing indicator systems were reviewed and adapted to the needs of small- and medium-sized communities. For this overall target-definition the question of 'Exergy Thinking' in planning urban environments and energy systems was discussed. This basically means to create a deep understanding of the quality aspects in energy demand and supply systems and to be aware for better matching solutions. This approach opens many options for the integration of renewables in the heating and cooling supply. It showed that the definition of a clear long-term target or 'energy vision' supports the implementation of measures because it facilitates communication and controversy. The large number of available tools and scientific methods for the analysis and optimization of communal energy systems was reviewed to answer the second research question. The results from this work mainly led to the one central challenge that has to be solved whenever complex modelling and strategic decision making are affected: Data. Data describes the status-quo and gives necessary information on the complex system interactions and influence factors. The options to create a concise data framework for the central objective were addressed in two steps. From literature, existing models and approaches general data frameworks were collected and summarized. Since the method was to be applied to the test case study the data was validated and tested under the case study conditions. This showed deviations and necessary specifications but as well a good analogy to the default data. From this a transparent and adjustable spreadsheet-model was developed to create scenarios for the case study and to answer the fourth research question. To create a holistic picture of the communal energy system and the effects of increased exploitation of renewables geographic information systems (GIS) show very valuable functionalities. Especially since the processing and interpretation of geographic information is anchored in urban planning disciplines and creates an easy access if energy system information is integrated. The open data architecture of GIS allows the integration of different data types as long as they have a spatial correlation. This enables to retrieve valuable results from a scenario model even with rather fragmented and incomplete data. To show the effects of different implementation strategies represented by the different 'energy visions' three energy scenarios were run for the case study. These three scenarios represent central 'beliefs' or 'approaches' in energy transition as well as overall development indicators and specific local aspects. Therefore the success of energy transition measures remains limited if not all essential development parameters take a favorable course. The scenario evaluation shows some interesting results and shows the principal usability of the approach and the model. The base-case scenario shows that the community already reaches good results for the global energy indicators because of the existing measures. On a medium and long-term these measures are not sufficient though to stay on a good course. Especially the long-term developments in some cases produce unexpected results. For instance the rather unfavourable development of CO2-emissions in the renewable energies scenario was not a predictable result at first glance. Here the effects of the chosen technologies and the effects of superior developments show their impact. As well the huge impact of the assumed efficiency measures was somewhat unexpected. Even though the assumed refurbishment rates do not exceed national recommendations and the efficiency qualities are far from passive-house standard, the efficiency scenario shows the fastest and best results for the global environment indicators. This can be explained by the fact that the demand reduction optimally complements the existing renewable energy strategy and can show its full potential in this combination. The results of the smart-city scenario show the expected and desired trends of a moderate and balanced long-term strategy that leads to a slower but continuous positive development in all the analysed energy system indicators. The long-term trends of the scenarios and the effects of following 'plain' strategies can be visualised well with the model and the developed scheme. Therefore the initial research questions can be answered positively. The framework gives good and useful results and offers many options for future extension. Certainly the next and most important aspect to include into the framework is the question of costs and economic effects. The overall investment and operational costs for the measures in the different scenarios will be very different. Efficiency measures especially in the existing building stock are costly while the costs for PV-plants will most probably further decline. This is certainly a shortcoming for the efficiency scenario. A future study could as well look at overall economic effects of the diffe ent strategies for the benefit of the community. Basic figures on the economic effects of renewable energy systems are already available (Hirschl et al. 2010) and could be implemented. This would certainly make the framework more beneficial for communal stakeholders. The model is transparent and simple enough to go this way in the near future and the achieved results of this thesis project are a good basis for this. The realisation of energy systems as sketched in the smart cities scenario still demands some changes in the regulatory boundary conditions and some new technologies mainly in the information and communication technologies. Smart and electricity grid compatible buildings which can contribute services in grid stability are an issue still to come and contribute to the integration of renewable electricity. The integration of renewable heat in communal supply systems is a big future opportunity to realise LowEx potentials in the heating and cooling sector. Stakeholders in small- and medium-sized communities should be encouraged by the outcomes of the thesis to take initial steps on the energy transition path, since the results that can be reached with state-of-the-art technologies are very encouraging. Energy transition on a large scale depends on the local implementation. Despite the fact that public and scientific focus and attention is mostly on the megacities, it will be the countless small initiatives that will turn the tide.",5,,372 pp.
F,2012,"Rogers, J. C.; Simmons, E. A.; Convery, I.; Weatherall, A.",Social impacts of community renewable energy projects: findings from a woodfuel case study,Energy Policy,0301-4215,http://dx.doi.org/10.1016/j.enpol.2011.11.081,"There is much current interest in the potential of community-based renewable energy projects to contribute to transition towards low carbon energy systems. As well as displacing fossil fuel consumption by increasing renewable energy generation, projects are expected to have a range of social impacts which may result in additional positive sustainability outcomes. These include potential to increase: acceptance of renewable energy developments; awareness of renewable and sustainable energy technologies and issues; uptake of low carbon technologies; and sustainable/pro-environmental behaviours. To date however, there has been little investigation of whether and how these impacts occur. This paper presents results from qualitative research investigating the social impacts of a community woodfuel project as experienced by project participants and other local stakeholders. Findings show projects can raise awareness of renewable energy technologies and increase uptake of renewables. Overall the case study project successfully changed the local social context for development of woodfuel heating, reducing risk for all involved in the future development of this sector, particularly in the immediate locality. There was some evidence of increased engagement with wider sustainability issues but this was limited to direct participants, suggesting local projects need to be supported by wider systemic change to maximise impacts.",42,,239-247
F,2014,"Reinsberger, K.; Posch, A.",Bottom-up initiatives for photovoltaic: Incentives and barriers,"Journal of Sustainable Development of Energy, Water and Environment Systems",18489257 (ISSN),10.13044/j.sdewes.2014.02.0010,"When facing the challenge of restructuring the energy system, bottom-up initiatives can aid the diffusion of decentralized and clean energy technologies. We focused here on a bottom-up initiative of citizen-funded and citizen-operated photovoltaic power plants. The project follows a case study-based approach and examines two different community initiatives. The aim is to investigate the potential incentives and barriers relating to participation or non-participation in predefined community PV projects. Qualitative, as well as quantitative empirical research was used to examine the key factors in the further development of bottom-up initiatives as contributors to a general energy transition. © 2014, International Centre for Sustainable Development of Energy, Water and Environment Systems SDEWES. All right reserved.",2,2,108-117
F,2016,"Praveen, Kumar; Chalise, N.; Yadama, G. N.",Dynamics of sustained use and abandonment of clean cooking systems: study protocol for community-based system dynamics modeling,International Journal for Equity in Health,1475-9276,http://download.springer.com/static/pdf/480/art%253A10.1186%252Fs12939-016-0356-2.pdf?originUrl=http%3A%2F%2Fequityhealthj.biomedcentral.com%2Farticle%2F10.1186%2Fs12939-016-0356-2&token2=exp=1463540959~acl=%2Fstatic%2Fpdf%2F480%2Fart%25253A10.1186%25252Fs12939-016-0356-2.pdf*~hmac=66a7ca5fedcaad8b4e56a03ca660b7a1b296828d71a3ac7310de4deb79e22901,"Background: More than 3 billion of the world's population are affected by household air pollution from relying on unprocessed solid fuels for heating and cooking. Household air pollution is harmful to human health, climate, and environment. Sustained uptake and use of cleaner cooking technologies and fuels are proposed as solutions to this problem. In this paper, we present our study protocol aimed at understanding multiple interacting feedback mechanisms involved in the dynamic behavior between social, ecological, and technological systems driving sustained use or abandonment of cleaner cooking technologies among the rural poor in India. Methods/Design: This study uses a comparative case study design to understand the dynamics of sustained use or abandonment of cleaner cooking technologies and fuels in four rural communities of Rajasthan, India. The study adopts a community based system dynamics modeling approach. We describe our approach of using community based system dynamics with rural communities to delineate the feedback mechanisms involved in the uptake and sustainment of clean cooking technologies. We develop a reference mode with communities showing the trend over time of use or abandonment of cleaner cooking technologies and fuels in these communities. Subsequently, the study develops a system dynamics model with communities to understand the complex sub-systems driving the behavior in these communities as reflected in the reference mode. We use group model building techniques to facilitate participation of relevant stakeholders in the four communities and elicit a narrative describing the feedback mechanisms underlying sustained adoption or abandonment of cleaner cooking technologies. Discussion: In understanding the dynamics of feedback mechanisms in the uptake and exclusive use of cleaner cooking systems, we increase the likelihood of dissemination and implementation of efficacious interventions into everyday settings to improve the health and wellbeing of women and children most affected by household air pollution. The challenge is not confined to developing robust technical solutions to reduce household air pollution and exposure to improve respiratory health, and prevent associated diseases. The bigger challenge is to disseminate and implement cleaner cooking technologies and fuels in the context of various social, behavioral, and economic constraints faced by poor households and communities.",15,70,
F,2018,"Pope, D.; Bruce, N.; Higgerson, J.; Hyseni, L.; Stanistreet, D.; Mbatchou, B.; Puzzolo, E.",Household Determinants of Liquified Petroleum Gas (LPG) as a Cooking Fuel in SW Cameroon,EcoHealth,,https://doi.org/10.1007/s10393-018-1378-6,"Currently 70% of the population in Cameroon are reliant on solid fuel for cooking (90% in rural communities) and the associated household air pollution contributes to significant mortality and morbidity in the country. To address the problems of energy security, deforestation and pollution the government has developed a strategy (Masterplan) to increase use of liquified petroleum gas (LPG) as a cooking fuel from 12% to 58% by 2030. As a clean fuel scaled adoption of LPG has the potential to make significant positive impacts on population health. The LPG Adoption in Cameroon Evaluation (LACE) studies are assessing in the community (i) barriers and enablers for and (ii) local interventions to support, adoption and sustained use of LPG. A census survey conducted for LACE in rural and peri-urban regions of SW Cameroon provided an opportunity to investigate current fuel use patterns and factors associated with primary and exclusive use of LPG. A cross-sectional survey of 1577 households (1334 peri-urban and 243 rural) was conducted in March 2016 using standardised fuel use and household socio-demographic questions, administered by trained fieldworkers. Wood (40.7%) and LPG (51.1%) were the most frequently reported fuels, although the dominant fuels in rural and peri-urban communities were wood (81%) and LPG (58%) respectively. Fuel stacking was observed for the majority of LPG using households (91% of peri-urban and 99% of rural households). In rural homes, a higher level of education, access to sanitation and piped water and household wealth (income and asset ownership) were all significantly associated with LPG use (p < 0.05). In peri-urban homes, younger age, access to sanitation and piped water and increasing education were significantly associated with both any and exclusive use of LPG (p < 0.05). However, whilst household wealth was related to any LPG use, there was no relationship with exclusive use. Results from this census survey of a relatively well-established LPG market with lower levels of poverty and high levels of education than Cameroon as a whole, find LPG usage well below target levels set by the Cameroon government (58% by 2030). Fuel stacking is an issue for the majority of LPG using households. Whilst, as observed here, education, household wealth and socio-economic status are well recognised predictors of adoption and sustained use of clean modern fuels, it is important to consider factors across the whole LPG eco-system when developing policies to support their scaled expansion. A comprehensive approach is therefore required to ensure implementation of the Cameroon LPG Masterplan achieves its aspirational adoption target within its stated timeframe.",15,,729-743
